,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
2689,0.1,0.1,1.0,1,0.5,1000,10
2690,0.05,0.05,0.95,1,0.5,1000,100
2691,0.05,0.06,0.94,1,0.5,1000,100
2692,0.1,0.1,0.95,1,0.5,1000,100
2693,0.1,0.1,0.97,1,0.5,1000,100
2694,0.1,0.1,0.95,1,0.5,1000,100
2695,0.06,0.07,0.92,1,0.5,1000,100
2696,0.07,0.07,0.97,1,0.5,1000,100
2697,0.03,0.03,0.94,1,0.5,1000,100
2698,0.09,0.09,0.93,1,0.5,1000,100
2699,0.08,0.09,0.92,1,0.5,1000,100
2700,0.0,0.0,1.0,0,0.5,0,1
2701,0.0,0.0,1.0,0,0.5,0,1
2702,0.0,0.0,1.0,0,0.5,0,1
2703,0.0,0.0,1.0,0,0.5,0,1
2704,0.0,0.0,1.0,0,0.5,0,1
2705,0.0,0.0,1.0,0,0.5,0,1
2706,0.0,0.0,1.0,0,0.5,0,1
2707,1.0,1.0,1.0,1,0.5,0,1
2708,1.0,1.0,1.0,1,0.5,0,1
2709,0.0,0.0,1.0,0,0.5,0,1
2710,0.3,0.3,1.0,1,0.5,0,10
2711,0.1,0.1,1.0,1,0.5,0,10
2712,0.1,0.1,1.0,1,0.5,0,10
2713,0.2,0.2,1.0,1,0.5,0,10
2714,0.4,0.4,1.0,1,0.5,0,10
2715,0.3,0.3,1.0,1,0.5,0,10
2716,0.0,0.0,1.0,0,0.5,0,10
2717,0.2,0.2,1.0,1,0.5,0,10
2718,0.2,0.2,1.0,1,0.5,0,10
2719,0.2,0.2,1.0,1,0.5,0,10
2720,0.28,0.28,1.0,1,0.5,0,100
2721,0.3,0.3,1.0,1,0.5,0,100
2722,0.25,0.25,0.99,1,0.5,0,100
2723,0.24,0.24,1.0,1,0.5,0,100
2724,0.28,0.28,1.0,1,0.5,0,100
2725,0.22,0.22,1.0,1,0.5,0,100
2726,0.23,0.23,1.0,1,0.5,0,100
2727,0.3,0.3,1.0,1,0.5,0,100
2728,0.26,0.26,1.0,1,0.5,0,100
2729,0.31,0.31,1.0,1,0.5,0,100
2730,0.0,0.0,1.0,0,0.5,1,1
2731,1.0,1.0,1.0,1,0.5,1,1
2732,1.0,1.0,1.0,1,0.5,1,1
2733,0.0,0.0,1.0,0,0.5,1,1
2734,0.0,0.0,0.0,0,0.5,1,1
2735,0.0,0.0,1.0,0,0.5,1,1
2736,1.0,1.0,1.0,1,0.5,1,1
2737,0.0,0.0,1.0,0,0.5,1,1
2738,1.0,1.0,1.0,1,0.5,1,1
2739,1.0,1.0,1.0,1,0.5,1,1
2740,0.2,0.2,1.0,1,0.5,1,10
2741,0.2,0.2,1.0,1,0.5,1,10
2742,0.0,0.0,1.0,0,0.5,1,10
2743,0.5,0.5,1.0,1,0.5,1,10
2744,0.0,0.0,0.9,0,0.5,1,10
2745,0.3,0.3,1.0,1,0.5,1,10
2746,0.2,0.2,1.0,1,0.5,1,10
2747,0.4,0.4,0.9,1,0.5,1,10
2748,0.2,0.2,1.0,1,0.5,1,10
2749,0.4,0.4,1.0,1,0.5,1,10
2750,0.23,0.23,1.0,1,0.5,1,100
2751,0.19,0.19,0.99,1,0.5,1,100
2752,0.23,0.23,0.99,1,0.5,1,100
2753,0.24,0.24,1.0,1,0.5,1,100
2754,0.2,0.2,0.99,1,0.5,1,100
2755,0.3,0.3,1.0,1,0.5,1,100
2756,0.18,0.18,0.98,1,0.5,1,100
2757,0.27,0.27,0.99,1,0.5,1,100
2758,0.29,0.3,0.98,1,0.5,1,100
2759,0.25,0.25,0.99,1,0.5,1,100
2760,1.0,1.0,1.0,1,0.5,10,1
2761,0.0,0.0,1.0,0,0.5,10,1
2762,0.0,0.0,1.0,0,0.5,10,1
2763,0.0,0.0,1.0,0,0.5,10,1
2764,0.0,0.0,0.0,0,0.5,10,1
2765,1.0,1.0,1.0,1,0.5,10,1
2766,1.0,1.0,1.0,1,0.5,10,1
2767,0.0,0.0,1.0,0,0.5,10,1
2768,0.0,0.0,1.0,0,0.5,10,1
2769,0.0,0.0,1.0,0,0.5,10,1
2770,0.1,0.1,0.8,1,0.5,10,10
2771,0.3,0.3,1.0,1,0.5,10,10
2772,0.2,0.2,1.0,1,0.5,10,10
2773,0.0,0.0,1.0,0,0.5,10,10
2774,0.0,0.0,0.8,0,0.5,10,10
2775,0.1,0.1,1.0,1,0.5,10,10
2776,0.3,0.3,1.0,1,0.5,10,10
2777,0.3,0.3,1.0,1,0.5,10,10
2778,0.4,0.4,1.0,1,0.5,10,10
2779,0.2,0.2,1.0,1,0.5,10,10
2780,0.16,0.17,0.98,1,0.5,10,100
2781,0.26,0.29,0.94,1,0.5,10,100
2782,0.24,0.24,0.97,1,0.5,10,100
2783,0.18,0.18,0.96,1,0.5,10,100
2784,0.19,0.21,0.96,1,0.5,10,100
2785,0.21,0.23,0.95,1,0.5,10,100
2786,0.17,0.17,0.97,1,0.5,10,100
2787,0.25,0.27,0.98,1,0.5,10,100
2788,0.16,0.18,0.97,1,0.5,10,100
2789,0.25,0.27,0.97,1,0.5,10,100
2790,0.0,0.0,1.0,0,0.5,100,1
2791,0.0,0.0,1.0,0,0.5,100,1
2792,0.0,0.0,1.0,0,0.5,100,1
2793,0.0,0.0,1.0,0,0.5,100,1
2794,0.0,0.0,1.0,0,0.5,100,1
2795,1.0,1.0,1.0,1,0.5,100,1
2796,0.0,0.0,1.0,0,0.5,100,1
2797,0.0,0.0,1.0,0,0.5,100,1
2798,0.0,0.0,1.0,0,0.5,100,1
2799,0.0,0.0,1.0,0,0.5,100,1
2800,0.4,0.4,0.9,1,0.5,100,10
2801,0.3,0.3,1.0,1,0.5,100,10
2802,0.4,0.4,1.0,1,0.5,100,10
2803,0.3,0.3,0.9,1,0.5,100,10
2804,0.3,0.4,0.8,1,0.5,100,10
2805,0.4,0.4,1.0,1,0.5,100,10
2806,0.6,0.6,1.0,1,0.5,100,10
2807,0.1,0.1,0.9,1,0.5,100,10
2808,0.1,0.1,0.9,1,0.5,100,10
2809,0.1,0.1,0.9,1,0.5,100,10
2810,0.26,0.28,0.95,1,0.5,100,100
2811,0.22,0.22,0.95,1,0.5,100,100
2812,0.25,0.28,0.94,1,0.5,100,100
