smiles,value
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.49
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.06
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.6
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.75
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.63451
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,10.52
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.83
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.59
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.4
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)ccc1F,7.54
C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,5.7
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.9
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,5.51428
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,5.45469
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(O)=NO)c(OC)cc2O)c1,5.95078
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(O)=NO)ccc2O)c1,5.48017
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(O)=NO)ccc2O)c1,5.64782
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(O)=NO)ccc2O)c1,6.05
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.21
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.07058
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,7.72
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,7.52
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,7.52288
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,4.7
C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,4.26
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.74
C#Cc1cccc(Nc2ncnc3c2NCc2cc(OC)c(OC)cc2O3)c1,6.05
C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,9.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(O)=NO)cc23)c1,7.82
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(O)=NO)cc23)c1,8.34
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)c1,8.62
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(O)=NO)c(OC)cc23)c1,8.09
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,9.7
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN(C)C)CCO4)c1,8.52288
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN(CC)CC)CCO4)c1,8.30103
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCC(C)CC2)CCO4)c1,8.30103
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCCC2)CCO4)c1,8.52288
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCCCC2)CCO4)c1,8.4
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCCCC2C)CCO4)c1,8.30103
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCN(C)CC2)CCO4)c1,7.8
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCOCC2)CCO4)c1,7.92082
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,8.7
C#Cc1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,6.42
C#Cc1cccc(Nc2ncnc3ccc(N=CC(C#N)C(=O)OCC)cc23)c1,5.6
